english_name;iso_639_1;name;movie_id
English;en;English;207
Latin;la;Latin;207
German;de;Deutsch;211
English;en;English;212
English;en;English;213
English;en;English;214
English;en;English;215
Arabic;ar;العربية;216
German;de;Deutsch;216
English;en;English;217
German;de;Deutsch;217
Russian;ru;Pусский;217
English;en;English;218
Spanish;es;Español;219
English;en;English;220
English;en;English;221
German;de;Deutsch;222
No Language;xx;No Language;222
English;en;English;223
French;fr;Français;223
Polish;pl;Polski;224
Hungarian;hu;Magyar;225
Polish;pl;Polski;225
English;en;English;226
English;en;English;227
German;de;Deutsch;228
English;en;English;229
Arabic;ar;العربية;231
English;en;English;231
Persian;fa;فارسی;231
Urdu;ur;اردو;231
French;fr;Français;231
Mandarin;zh;普通话;231
English;en;English;232
English;en;English;233
No Language;xx;No Language;234
English;en;English;235
English;en;English;236
Japanese;ja;日本語;236
English;en;English;237
English;en;English;238
Italian;it;Italiano;238
Latin;la;Latin;238
English;en;English;239
English;en;English;240
Italian;it;Italiano;240
Latin;la;Latin;240
Spanish;es;Español;240
English;en;English;241
Navajo;nv;;241
Japanese;ja;日本語;241
English;en;English;242
Italian;it;Italiano;242
German;de;Deutsch;242
Latin;la;Latin;242
Danish;da;Dansk;243
English;en;English;243
English;en;English;244
English;en;English;245
Japanese;ja;日本語;246
English;en;English;247
English;en;English;248
Spanish;es;Español;248
English;en;English;249
Danish;da;Dansk;250
English;en;English;250
German;de;Deutsch;250
Serbian;sr;Srpski;250
English;en;English;251
French;fr;Français;252
English;en;English;252
Italian;it;Italiano;252
German;de;Deutsch;252
English;en;English;253
Hungarian;hu;Magyar;253
English;en;English;254
French;fr;Français;255
French;fr;Français;256
English;en;English;257
French;fr;Français;258
French;fr;Français;259
English;en;English;260
English;en;English;261
English;en;English;262
German;de;Deutsch;265
English;en;English;265
English;en;English;266
French;fr;Français;266
German;de;Deutsch;266
Italian;it;Italiano;266
Bulgarian;bg;български език;267
Spanish;es;Español;267
Italian;it;Italiano;267
English;en;English;268
French;fr;Français;268
French;fr;Français;269
English;en;English;269
German;de;Deutsch;270
Swedish;sv;svenska;271
English;en;English;272
Urdu;ur;اردو;272
Mandarin;zh;普通话;272
German;de;Deutsch;273
English;en;English;274
English;en;English;275
German;de;Deutsch;276
English;en;English;277
English;en;English;278
English;en;English;279
Italian;it;Italiano;279
Latin;la;Latin;279
German;de;Deutsch;279
English;en;English;280
Spanish;es;Español;280
English;en;English;281
English;en;English;284
English;en;English;285
German;de;Deutsch;286
English;en;English;287
English;en;English;288
Italian;it;Italiano;288
German;de;Deutsch;289
French;fr;Français;289
Italian;it;Italiano;289
English;en;English;289
English;en;English;290
English;en;English;291
German;de;Deutsch;292
English;en;English;292
English;en;English;293
English;en;English;294
English;en;English;296
Dutch;nl;Nederlands;297
English;en;English;297
Spanish;es;Español;298
English;en;English;298
French;fr;Français;298
English;en;English;299
English;en;English;300
French;fr;Français;300
Spanish;es;Español;300
English;en;English;301
German;de;Deutsch;301
English;en;English;302
French;fr;Français;302
English;en;English;303
English;en;English;306
Italian;it;Italiano;307
German;de;Deutsch;307
English;en;English;308
Danish;da;Dansk;309
German;de;Deutsch;309
English;en;English;309
English;en;English;310
English;en;English;311
Hebrew;he;עִבְרִית;311
Yiddish;yi;;311
Italian;it;Italiano;311
French;fr;Français;311
German;de;Deutsch;312
English;en;English;313
Spanish;es;Español;314
English;en;English;314
English;en;English;315
German;de;Deutsch;316
Bosnian;bs;Bosanski;317
English;en;English;318
English;en;English;319
Italian;it;Italiano;319
English;en;English;320
English;en;English;321
French;fr;Français;321
Italian;it;Italiano;321
English;en;English;322
English;en;English;326
English;en;English;327
Italian;it;Italiano;327
Japanese;ja;日本語;327
Spanish;es;Español;327
English;en;English;329
Spanish;es;Español;329
English;en;English;330
English;en;English;331
Spanish;es;Español;331
English;en;English;332
Norwegian;no;Norsk;332
French;fr;Français;332
Spanish;es;Español;332
English;en;English;333
English;en;English;334
French;fr;Français;334
German;de;Deutsch;334
English;en;English;335
Spanish;es;Español;336
Italian;it;Italiano;336
French;fr;Français;337
Turkish;tr;Türkçe;337
German;de;Deutsch;338
English;en;English;339
Italian;it;Italiano;339
German;de;Deutsch;339
Finnish;fi;suomi;339
French;fr;Français;339
English;en;English;340
Russian;ru;Pусский;340
Ukrainian;uk;Український;340
English;en;English;341
German;de;Deutsch;342
English;en;English;343
German;de;Deutsch;344
English;en;English;345
Japanese;ja;日本語;346
No Language;xx;No Language;347
English;en;English;348
Spanish;es;Español;348
French;fr;Français;349
English;en;English;350
French;fr;Français;350
German;de;Deutsch;351
German;de;Deutsch;363
Turkish;tr;Türkçe;363
English;en;English;363
English;en;English;364
English;en;English;377
English;en;English;378
English;en;English;379
Irish;ga;Gaeilge;379
Italian;it;Italiano;379
Yiddish;yi;;379
Italian;it;Italiano;380
English;en;English;380
French;fr;Français;381
English;en;English;381
Spanish;es;Español;383
Italian;it;Italiano;383
English;en;English;383
German;de;Deutsch;387
English;en;English;387
French;fr;Français;387
English;en;English;388
Albanian;sq;shqip;388
English;en;English;389
English;en;English;390
German;de;Deutsch;390
Portuguese;pt;Português;390
Italian;it;Italiano;391
Spanish;es;Español;391
English;en;English;392
French;fr;Français;392
English;en;English;393
Mandarin;zh;普通话;393
Spanish;es;Español;393
Cantonese;cn;广州话 / 廣州話;393
Italian;it;Italiano;395
English;en;English;395
English;en;English;396
Latin;la;Latin;396
French;fr;Français;397
English;en;English;397
English;en;English;398
English;en;English;400
French;fr;Français;400
English;en;English;401
English;en;English;402
English;en;English;403
Hebrew;he;עִבְרִית;403
English;en;English;404
Italian;it;Italiano;405
French;fr;Français;406
German;de;Deutsch;407
Turkish;tr;Türkçe;407
Greek;el;ελληνικά;407
Serbo-Croatian;sh;;407
English;en;English;408
German;de;Deutsch;409
Italian;it;Italiano;409
Arabic;ar;العربية;409
English;en;English;409
German;de;Deutsch;410
English;en;English;411
German;de;Deutsch;411
English;en;English;414
English;en;English;415
German;de;Deutsch;419
English;en;English;421
Icelandic;is;Íslenska;421
Portuguese;pt;Português;421
French;fr;Français;421
Tagalog;tl;;421
German;de;Deutsch;421
Italian;it;Italiano;421
German;de;Deutsch;422
English;en;English;422
French;fr;Français;422
Italian;it;Italiano;422
English;en;English;423
Polish;pl;Polski;423
German;de;Deutsch;423
Russian;ru;Pусский;423
German;de;Deutsch;424
Polish;pl;Polski;424
Hebrew;he;עִבְרִית;424
English;en;English;424
English;en;English;425
English;en;English;426
French;fr;Français;427
German;de;Deutsch;428
Italian;it;Italiano;429
German;de;Deutsch;430
English;en;English;430
Russian;ru;Pусский;430
German;de;Deutsch;431
English;en;English;431
English;en;English;433
German;de;Deutsch;434
English;en;English;435
Japanese;ja;日本語;435
French;fr;Français;435
Arabic;ar;العربية;435
Spanish;es;Español;435
Spanish;es;Español;436
English;en;English;436
English;en;English;437
Spanish;es;Español;438
English;en;English;438
French;fr;Français;438
German;de;Deutsch;439
English;en;English;439
French;fr;Français;439
Italian;it;Italiano;439
English;en;English;440
English;en;English;441
Finnish;fi;suomi;442
Swedish;sv;svenska;442
French;fr;Français;445
Polish;pl;Polski;446
Russian;ru;Pусский;446
German;de;Deutsch;446
English;en;English;451
Italian;it;Italiano;451
Russian;ru;Pусский;451
Danish;da;Dansk;452
English;en;English;453
English;en;English;454
English;en;English;455
Punjabi;pa;ਪੰਜਾਬੀ;455
French;fr;Français;457
French;fr;Français;458
French;fr;Français;459
German;de;Deutsch;460
English;en;English;462
English;en;English;464
Swedish;sv;svenska;464
French;fr;Français;465
English;en;English;466
English;en;English;467
German;de;Deutsch;468
English;en;English;468
Italian;it;Italiano;468
English;en;English;469
Hungarian;hu;Magyar;469
English;en;English;470
English;en;English;471
Polish;pl;Polski;471
English;en;English;473
English;en;English;475
English;en;English;476
English;en;English;479
Spanish;es;Español;479
German;de;Deutsch;479
English;en;English;480
Hindi;hi;हिन्दी;480
Spanish;es;Español;481
English;en;English;482
English;en;English;483
English;en;English;488
Swahili;sw;Kiswahili;488
English;en;English;489
Swedish;sv;svenska;490
German;de;Deutsch;491
Greek;el;ελληνικά;491
Turkish;tr;Türkçe;491
French;fr;Français;492
English;en;English;492
English;en;English;493
English;en;English;494
Armenian;hy;;496
English;en;English;496
Hebrew;he;עִבְרִית;496
Polish;pl;Polski;496
Romanian;ro;Română;496
French;fr;Français;497
English;en;English;497
French;fr;Français;499
English;en;English;500
English;en;English;501
English;en;English;502
Russian;ru;Pусский;502
English;en;English;503
Spanish;es;Español;503
English;en;English;504
English;en;English;505
English;en;English;506
English;en;English;507
French;fr;Français;507
English;en;English;508
French;fr;Français;508
Portuguese;pt;Português;508
English;en;English;509
English;en;English;510
German;de;Deutsch;511
Russian;ru;Pусский;511
Yiddish;yi;;511
Polish;pl;Polski;511
English;en;English;512
English;en;English;513
Hindi;hi;हिन्दी;513
English;en;English;521
English;en;English;522
German;de;Deutsch;523
English;en;English;524
English;en;English;525
English;en;English;526
English;en;English;527
Maori;mi;;527
English;en;English;530
English;en;English;531
English;en;English;532
English;en;English;533
English;en;English;534
Italian;it;Italiano;534
English;en;English;535
German;de;Deutsch;536
Mandarin;zh;普通话;536
French;fr;Français;537
Portuguese;pt;Português;537
German;de;Deutsch;538
English;en;English;539
English;en;English;540
English;en;English;541
Spanish;es;Español;541
Spanish;es;Español;542
English;en;English;543
English;en;English;544
Spanish;es;Español;546
English;en;English;546
English;en;English;547
Japanese;ja;日本語;548
English;en;English;549
Spanish;es;Español;549
English;en;English;550
English;en;English;551
Italian;it;Italiano;552
English;en;English;553
German;de;Deutsch;554
Russian;ru;Pусский;554
Finnish;fi;suomi;554
French;fr;Français;555
English;en;English;557
English;en;English;558
Russian;ru;Pусский;558
Mandarin;zh;普通话;558
English;en;English;559
French;fr;Français;559
English;en;English;560
English;en;English;561
Latin;la;Latin;561
Spanish;es;Español;561
Tagalog;tl;;561
English;en;English;562
German;de;Deutsch;562
Italian;it;Italiano;562
English;en;English;563
English;en;English;564
Arabic;ar;العربية;564
English;en;English;565
English;en;English;567
English;en;English;568
English;en;English;570
French;fr;Français;570
Italian;it;Italiano;570
English;en;English;571
Swedish;sv;svenska;572
Norwegian;no;Norsk;572
English;en;English;573
Italian;it;Italiano;573
English;en;English;574
Arabic;ar;العربية;574
French;fr;Français;574
German;de;Deutsch;575
English;en;English;576
German;de;Deutsch;576
Spanish;es;Español;576
English;en;English;577
English;en;English;578
English;en;English;579
English;en;English;580
English;en;English;581
German;de;Deutsch;582
English;en;English;583
Latin;la;Latin;583
English;en;English;584
Spanish;es;Español;584
English;en;English;585
Albanian;sq;shqip;586
English;en;English;586
English;en;English;587
English;en;English;588
English;en;English;590
English;en;English;591
French;fr;Français;591
Latin;la;Latin;591
Spanish;es;Español;591
English;en;English;592
Russian;ru;Pусский;593
Bulgarian;bg;български език;594
English;en;English;594
French;fr;Français;594
Russian;ru;Pусский;594
Spanish;es;Español;594
English;en;English;595
English;en;English;596
English;en;English;597
French;fr;Français;597
German;de;Deutsch;597
Swedish;sv;svenska;597
Italian;it;Italiano;597
Russian;ru;Pусский;597
Portuguese;pt;Português;598
English;en;English;599
English;en;English;600
Vietnamese;vi;Tiếng Việt;600
English;en;English;601
English;en;English;602
English;en;English;603
English;en;English;604
English;en;English;605
French;fr;Français;605
English;en;English;606
Swahili;sw;Kiswahili;606
English;en;English;607
Spanish;es;Español;607
English;en;English;608
English;en;English;609
Arabic;ar;العربية;612
German;de;Deutsch;612
Greek;el;ελληνικά;612
English;en;English;612
French;fr;Français;612
Hebrew;he;עִבְרִית;612
Italian;it;Italiano;612
Russian;ru;Pусский;612
Hungarian;hu;Magyar;613
German;de;Deutsch;613
Russian;ru;Pусский;613
Latin;la;Latin;614
Swedish;sv;svenska;614
Hebrew;he;עִבְרִית;615
Latin;la;Latin;615
English;en;English;616
Japanese;ja;日本語;616
English;en;English;617
No Language;xx;No Language;618
English;en;English;619
English;en;English;620
English;en;English;621
Spanish;es;Español;622
French;fr;Français;622
English;en;English;622
Latin;la;Latin;622
Portuguese;pt;Português;622
English;en;English;623
Italian;it;Italiano;623
Russian;ru;Pусский;623
English;en;English;624
Khmer;km;;625
English;en;English;625
French;fr;Français;625
Russian;ru;Pусский;625
No Language;xx;No Language;626
English;en;English;627
English;en;English;628
French;fr;Français;628
Spanish;es;Español;629
English;en;English;629
French;fr;Français;629
Hungarian;hu;Magyar;629
English;en;English;630
No Language;xx;No Language;631
English;en;English;632
German;de;Deutsch;632
Russian;ru;Pусский;632
Dutch;nl;Nederlands;633
English;en;English;633
German;de;Deutsch;633
English;en;English;634
English;en;English;635
French;fr;Français;635
English;en;English;636
English;en;English;637
Italian;it;Italiano;637
German;de;Deutsch;637
Czech;cs;Český;637
English;en;English;638
English;en;English;639
English;en;English;640
French;fr;Français;640
English;en;English;641
English;en;English;642
Spanish;es;Español;642
No Language;xx;No Language;643
English;en;English;644
English;en;English;646
French;fr;Français;646
Japanese;ja;日本語;647
French;fr;Français;648
French;fr;Français;649
Mongolian;mn;;649
Spanish;es;Español;649
English;en;English;650
English;en;English;651
Japanese;ja;日本語;651
Korean;ko;한국어/조선말;651
English;en;English;652
No Language;xx;No Language;653
English;en;English;654
English;en;English;655
Spanish;es;Español;655
English;en;English;657
Russian;ru;Pусский;657
Turkish;tr;Türkçe;657
Romanian;ro;Română;657
Mandarin;zh;普通话;658
English;en;English;658
Spanish;es;Español;658
German;de;Deutsch;659
Hebrew;he;עִבְרִית;659
Italian;it;Italiano;659
Polish;pl;Polski;659
Russian;ru;Pусский;659
English;en;English;660
French;fr;Français;660
French;fr;Français;661
German;de;Deutsch;661
English;en;English;661
German;de;Deutsch;662
English;en;English;662
French;fr;Français;662
English;en;English;663
English;en;English;664
English;en;English;665
Portuguese;pt;Português;666
English;en;English;667
Japanese;ja;日本語;667
Russian;ru;Pусский;667
English;en;English;668
German;de;Deutsch;668
No Language;xx;No Language;669
Korean;ko;한국어/조선말;670
English;en;English;671
English;en;English;672
English;en;English;673
English;en;English;674
French;fr;Français;674
English;en;English;675
French;fr;Français;676
English;en;English;676
Japanese;ja;日本語;676
German;de;Deutsch;677
English;en;English;678
English;en;English;679
English;en;English;680
Spanish;es;Español;680
French;fr;Français;680
English;en;English;681
German;de;Deutsch;681
Thai;th;ภาษาไทย;682
Cantonese;cn;广州话 / 廣州話;682
English;en;English;682
German;de;Deutsch;685
English;en;English;686
Spanish;es;Español;686
Russian;ru;Pусский;686
English;en;English;687
English;en;English;688
English;en;English;689
German;de;Deutsch;689
Greek;el;ελληνικά;689
French;fr;Français;690
English;en;English;691
Italian;it;Italiano;691
Arabic;ar;العربية;691
English;en;English;692
English;en;English;693
English;en;English;694
English;en;English;695
English;en;English;696
No Language;xx;No Language;697
English;en;English;698
Italian;it;Italiano;698
Greek;el;ελληνικά;699
English;en;English;699
Italian;it;Italiano;699
German;de;Deutsch;700
English;en;English;700
Russian;ru;Pусский;700
Spanish;es;Español;700
No Language;xx;No Language;701
English;en;English;702
English;en;English;703
German;de;Deutsch;703
German;de;Deutsch;704
English;en;English;704
French;fr;Français;704
English;en;English;705
French;fr;Français;705
German;de;Deutsch;706
English;en;English;707
English;en;English;708
Arabic;ar;العربية;708
French;fr;Français;708
German;de;Deutsch;708
Russian;ru;Pусский;708
Czech;cs;Český;708
Slovak;sk;Slovenčina;708
English;en;English;709
Spanish;es;Español;709
English;en;English;710
Russian;ru;Pусский;710
Spanish;es;Español;710
English;en;English;711
English;en;English;712
English;en;English;713
Maori;mi;;713
German;de;Deutsch;714
English;en;English;714
Danish;da;Dansk;714
Mandarin;zh;普通话;714
Cantonese;cn;广州话 / 廣州話;714
Swedish;sv;svenska;742
Finnish;fi;suomi;743
German;de;Deutsch;743
English;en;English;744
Latin;la;Latin;745
Spanish;es;Español;745
English;en;English;745
"Chichewa; Nyanja";ny;;746
Mandarin;zh;普通话;746
English;en;English;746
Japanese;ja;日本語;746
English;en;English;747
English;en;English;750
English;en;English;751
English;en;English;752
English;en;English;753
English;en;English;754
Latin;la;Latin;754
English;en;English;755
Spanish;es;Español;755
English;en;English;756
English;en;English;757
English;en;English;758
English;en;English;759
French;fr;Français;759
English;en;English;760
Hebrew;he;עִבְרִית;760
French;fr;Français;760
Yiddish;yi;;760
French;fr;Français;761
French;fr;Français;762
Latin;la;Latin;762
English;en;English;762
English;en;English;763
English;en;English;764
English;en;English;765
English;en;English;766
English;en;English;767
English;en;English;768
Italian;it;Italiano;769
English;en;English;769
English;en;English;770
English;en;English;771
French;fr;Français;771
English;en;English;772
French;fr;Français;772
English;en;English;773
No Language;xx;No Language;774
No Language;xx;No Language;775
French;fr;Français;776
Russian;ru;Pусский;777
German;de;Deutsch;777
French;fr;Français;777
English;en;English;777
English;en;English;778
French;fr;Français;778
German;de;Deutsch;779
No Language;xx;No Language;780
German;de;Deutsch;781
English;en;English;782
Esperanto;eo;Esperanto;782
English;en;English;783
Hindi;hi;हिन्दी;783
Slovak;sk;Slovenčina;784
Russian;ru;Pусский;784
Czech;cs;Český;784
German;de;Deutsch;785
English;en;English;786
English;en;English;787
Spanish;es;Español;787
English;en;English;788
Czech;cs;Český;789
German;de;Deutsch;789
English;en;English;790
English;en;English;791
English;en;English;792
Vietnamese;vi;Tiếng Việt;792
English;en;English;793
Italian;it;Italiano;794
English;en;English;794
Latin;la;Latin;794
English;en;English;795
Polish;pl;Polski;795
Mandarin;zh;普通话;795
English;en;English;796
Swedish;sv;svenska;797
German;de;Deutsch;798
German;de;Deutsch;799
Spanish;es;Español;800
English;en;English;801
Vietnamese;vi;Tiếng Việt;801
English;en;English;802
French;fr;Français;803
English;en;English;804
Italian;it;Italiano;804
English;en;English;805
English;en;English;806
English;en;English;807
English;en;English;808
English;en;English;809
English;en;English;810
English;en;English;811
English;en;English;812
English;en;English;813
English;en;English;814
English;en;English;815
English;en;English;816
German;de;Deutsch;817
English;en;English;817
English;en;English;818
Japanese;ja;日本語;818
German;de;Deutsch;818
French;fr;Français;818
English;en;English;819
English;en;English;820
Spanish;es;Español;820
English;en;English;821
German;de;Deutsch;821
Bengali;bn;বাংলা;822
Japanese;ja;日本語;823
French;fr;Français;824
Spanish;es;Español;824
English;en;English;824
English;en;English;825
Japanese;ja;日本語;826
Thai;th;ภาษาไทย;826
English;en;English;826
English;en;English;827
French;fr;Français;827
English;en;English;828
Spanish;es;Español;829
Cantonese;cn;广州话 / 廣州話;829
English;en;English;829
English;en;English;830
English;en;English;831
German;de;Deutsch;832
Italian;it;Italiano;833
English;en;English;834
French;fr;Français;834
Hungarian;hu;Magyar;834
German;de;Deutsch;835
Portuguese;pt;Português;836
English;en;English;837
English;en;English;838
Spanish;es;Español;838
English;en;English;839
Hindi;hi;हिन्दी;840
English;en;English;840
French;fr;Français;840
Spanish;es;Español;840
English;en;English;841
English;en;English;842
Cantonese;cn;广州话 / 廣州話;843
French;fr;Français;843
Spanish;es;Español;843
Mandarin;zh;普通话;844
Japanese;ja;日本語;844
Cantonese;cn;广州话 / 廣州話;844
French;fr;Français;845
English;en;English;845
English;en;English;846
English;en;English;847
English;en;English;848
English;en;English;849
English;en;English;850
English;en;English;851
German;de;Deutsch;852
German;de;Deutsch;853
English;en;English;853
Russian;ru;Pусский;853
Swedish;sv;svenska;854
English;en;English;854
English;en;English;855
Somali;so;Somali;855
English;en;English;856
Czech;cs;Český;857
German;de;Deutsch;857
English;en;English;857
French;fr;Français;857
English;en;English;858
English;en;English;859
English;en;English;860
English;en;English;861
English;en;English;862
English;en;English;863
English;en;English;864
French;fr;Français;864
German;de;Deutsch;864
Russian;ru;Pусский;864
English;en;English;865
English;en;English;866
English;en;English;867
Afrikaans;af;Afrikaans;868
English;en;English;868
Xhosa;xh;;868
Zulu;zu;isiZulu;868
English;en;English;869
Japanese;ja;日本語;870
English;en;English;871
English;en;English;872
English;en;English;873
English;en;English;874
Latin;la;Latin;874
Cantonese;cn;广州话 / 廣州話;875
English;en;English;875
French;fr;Français;875
German;de;Deutsch;875
English;en;English;877
Italian;it;Italiano;877
German;de;Deutsch;878
English;en;English;879
Dutch;nl;Nederlands;880
English;en;English;881
French;fr;Français;881
German;de;Deutsch;882
English;en;English;883
English;en;English;884
No Language;xx;No Language;885
English;en;English;886
English;en;English;887
English;en;English;888
English;en;English;889
German;de;Deutsch;890
Spanish;es;Español;891
English;en;English;891
French;fr;Français;892
German;de;Deutsch;893
German;de;Deutsch;894
Tatar;tt;;895
Russian;ru;Pусский;895
Italian;it;Italiano;895
English;en;English;896
Bengali;bn;বাংলা;896
English;en;English;897
Bengali;bn;বাংলা;897
English;en;English;898
No Language;xx;No Language;899
English;en;English;900
No Language;xx;No Language;901
Cantonese;cn;广州话 / 廣州話;902
French;fr;Français;902
English;en;English;903
No Language;xx;No Language;904
No Language;xx;No Language;905
German;de;Deutsch;906
English;en;English;907
Russian;ru;Pусский;907
Arabic;ar;العربية;908
Dutch;nl;Nederlands;908
English;en;English;909
English;en;English;910
English;en;English;911
English;en;English;912
English;en;English;913
English;en;English;914
Esperanto;eo;Esperanto;914
English;en;English;916
Hindi;hi;हिन्दी;917
English;en;English;918
English;en;English;919
Japanese;ja;日本語;919
English;en;English;920
Italian;it;Italiano;920
Japanese;ja;日本語;920
Yiddish;yi;;920
English;en;English;921
Cree;cr;;922
English;en;English;922
English;en;English;923
English;en;English;924
English;en;English;925
Italian;it;Italiano;925
Korean;ko;한국어/조선말;925
Spanish;es;Español;925
